cell,scheduler,pair,pickcfg,channel,arm,initial,assignment,labor_hours,batch_hours,thr_items_hr,thr_task_items_hr,labor_saved,items,n_batches
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,uni_cmin_norsl,uni,cmin,17.665833697663725,0.9421140161738255,5215622.741515997,278346.48907847557,0.0045881641120324446,4958940,75
k1_off_lpt,lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_comp_norsl,opt,comp,20.273153880888326,1.0763363357410773,5589296.2166556,296670.0080988659,-0.014460077979105534,6033932,75
k1_off_lpt,lpt,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,opt_comp_norsl,opt,comp,17.64565237757231,0.9181816758702062,5455432.130557788,283343.00858468475,0.02255358816662323,5036706,75
k1_off_lpt,lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_comp_norsl,uni,comp,20.268172060662362,1.0757944766804468,5562931.3475326365,296594.97428922553,-0.00947825775314115,6022465,75
k1_off_lpt,lpt,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,uni_comp_norsl,uni,comp,17.647785741336634,0.9137517844087671,5472732.160815253,283217.0501756164,0.020420224402300846,5029705,75
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_comp_norsl,opt,comp,20.274612999993657,1.2383296401986705,4846960.120062861,296655.75153891207,-0.016134894093415397,6034047,75
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,opt_comp_norsl,opt,comp,17.649284207661406,1.0903212140009664,4568894.792212569,283290.73398364586,0.021137654114351534,5037028,75
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_comp_norsl,uni,comp,20.26788793587699,1.2359800027032362,4770483.546269075,296588.4231610675,-0.009409829976746664,6022496,75
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,uni_comp_norsl,uni,comp,17.646093052127267,1.0879903021475772,4549684.407015683,283242.04667357734,0.024328809648491045,5029909,75
k1_off_lpt,lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_expn_norsl,opt,expn,20.323971649188803,1.0618262699373495,5674238.44195856,296074.74638180964,-0.06527784627958155,6039342,75
