cell,pair,pickcfg,channel,arm,ref_task_ms,cell_task_ms,d_task_ms_pct,ref_batch_ms,cell_batch_ms,d_batch_ms_pct,ref_thr_batch,cell_thr_batch,d_thr_batch_pct,ref_thr_task,cell_thr_task,d_thr_task_pct
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_norsl,965484.0441198718,965534.2370481847,-0.005198732036911487,59899.81943333675,51252.14775645049,14.436891060264983,1.3226987436040982,1.546857501524338,16.947075742239726,0.08219990067580023,0.0821988233845809,-0.001310574843122276
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,965367.6665831351,965354.978088378,0.001314369146221489,59823.54714907976,51002.01178472985,14.745924948861214,1.3240293457050973,1.5551790480734105,17.458049787047347,0.08216701723156711,0.08217289892037405,0.007158211415129291
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cmax_norsl,962999.8979270518,963015.135602867,-0.0015823133364852016,58054.51002098866,48928.28813742375,15.720091135495718,1.3406157660519356,1.5945572675461654,18.942153891124104,0.08100866683604596,0.08100779146161441,-0.0010805935534333481
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cmin_norsl,963097.6963060435,963060.7046684377,0.0038409018885317402,51460.0175289174,48956.85407346815,4.8642879960983745,1.5143246635322547,1.5933058490403877,5.215604514021756,0.08100177057119047,0.08100408507779006,0.0028573530964373472
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_comp_norsl,963709.504465223,963715.1554463479,-0.0005863780629594973,59747.198163993744,51354.294875826796,14.04735878179619,1.3251343184080764,1.5452587076479545,16.611477506998696,0.08238567310029651,0.08238749285811821,0.002208828007606413
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_expn_norsl,966367.2603516136,966453.1977088324,-0.008892825817334839,54734.75637552595,50296.04597759268,8.109491467322925,1.4512751045931591,1.5792826337779298,8.820349000657284,0.08220902649751727,0.08221437141679439,0.006501620934872071
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_fifo_norsl,963277.9151673467,963290.9915133975,-0.0013574842571325624,51744.05658499278,48994.73612471606,5.313306767436749,1.5065172936749787,1.5924512447514778,5.70414634052245,0.08100117790061269,0.08100259238206649,0.0017462480058428062
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_map_norsl,962879.2311733391,962961.0196620568,-0.008494158568368375,51811.81823274735,48902.62598309597,5.614920203307288,1.5048283569813197,1.5951014712076195,5.998897735246519,0.08102204606653426,0.08101320828036959,-0.010907878279715623
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_map_rank_norsl,962860.2370077041,962988.3449037337,-0.013304931609568058,51865.1203848202,48826.44354780023,5.858806100273367,1.5029680528735176,1.5972942661261047,6.27599589174535,0.08102203769153249,0.08101076163737442,-0.013917268041321887
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_rank_cartlabor_norsl,963077.2430382424,963101.243038242,-0.002492011951587702,51641.140998488416,48948.97203530518,5.213225174986038,1.5087153575871128,1.5935903410835044,5.625645889369884,0.0810041924447333,0.08100373519322471,-0.0005644788186723515
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_rank_labor_norsl,963224.5953867856,963142.9953867854,0.008471544475818004,51630.34673492036,48953.41920573069,5.184794793134947,1.509532551214833,1.5931981596425744,5.542484549962799,0.08098928637490843,0.08099395997689149,0.005770642256832224
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_rank_maxlabor_norsl,963189.9924367191,963281.056875556,-0.009454462728220751,51750.89694268493,48971.699499339964,5.370336762323129,1.5055458174777554,1.5928072037828178,5.795996727037616,0.08099521311059343,0.08098400247702175,-0.01384110633349589
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_rank_minlabor_norsl,965531.8887369016,965495.141166491,0.003805940626018726,57198.91595181535,50540.2249002032,11.641288896491437,1.38070436422753,1.5648541193104142,13.337377635212396,0.08195759503157639,0.0819640803166342,0.007912976284031486
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_rank_popularity_norsl,963140.7353150402,963039.9353150397,0.010465760226364102,51675.59014076866,48948.92028257355,5.276514212546842,1.5077943511345402,1.593482741445521,5.683029005016806,0.0809958332904592,0.0810062652806192,0.012879662738440732
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_rank_random_norsl,963191.7011160238,963141.2741719775,0.005235400594487366,51773.869573882504,48979.559784880475,5.3971430221464995,1.5040498864677836,1.5928533828357974,5.904291949821301,0.08100856932886652,0.08101383603744304,0.006501421541145449
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_tmax_norsl,963237.8844886572,963177.6370055384,0.0062546837171764,51580.43974705196,48960.24865516724,5.079815342277061,1.5108667090870316,1.5930084749450688,5.436731471015922,0.08098856565224993,0.0809918251517564,0.004024641602451777
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_tmin_norsl,963051.0485020289,962976.0976718318,0.007782643538331631,51417.145768318434,48945.111205109235,4.807802001200125,1.5162444189937694,1.5935610544479053,5.0992197884194574,0.08100457250233901,0.08100931363161118,0.005852915614150136
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,opt_cluster_map_norsl,6152216.600889938,6155307.356047386,-0.05023807446898511,491087.0370901586,322723.3994976622,34.283869228172385,0.07262533007646407,0.11035594905057536,51.95242339606077,0.005763120975298135,0.005760518361970445,-0.04515978996181318
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,opt_cluster_map_rank_norsl,6183524.353909571,6184522.507745441,-0.016142150960224436,513551.6001115122,338273.66247775214,34.130540649800395,0.06941748389056902,0.10552447992422184,52.01426789045328,0.005734083159262048,0.00573273801306223,-0.023458784298322072
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,opt_cmax_norsl,6271570.296245942,6271511.83836816,0.0009321091053888907,507245.35935533536,318431.6851758371,37.2233418595419,0.07042237983603838,0.11193877944949605,58.95341752170069,0.005639190081398285,0.00563928439875956,0.0016725338198032192
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,opt_cmin_norsl,6282426.326018717,6278966.162208018,0.055076870481854306,405805.3233802539,286883.61775908084,29.305112271713412,0.08764195588806702,0.12352432749261977,40.942002310377866,0.0056398343778286545,0.005641786474160213,0.034612653506859166
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,opt_comp_norsl,6287812.172323322,6286602.852304481,0.019232763093082576,546536.2712161625,327805.27342184586,40.021314103745105,0.0659951922658687,0.10881327035286124,64.88060208158095,0.005639189232623024,0.005639954883457393,0.013577321185455132
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,opt_expn_norsl,6299312.91094415,6300999.19038586,-0.026769259847068298,403518.7601900458,289115.18213456636,28.351489284314475,0.08807937407305662,0.12256935515433462,39.157840804670805,0.005626522549065566,0.005624208960248931,-0.04111933785849463
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,opt_fifo_norsl,6292738.048292344,6292811.25326715,-0.0011633246806738093,406031.5004802213,281631.85213610175,30.637930356878634,0.08721575415561739,0.125708207653224,44.13474821180273,0.005622492792307242,0.005621987591016072,-0.008985361294925782
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,opt_map_norsl,6147794.145113951,6147913.715692849,-0.0019449346558445468,400183.3664244927,273091.90352681756,31.75830720631787,0.088726320192358,0.12969331403819706,46.17231251901682,0.00575699678382054,0.005757840936974425,0.01466308190856836
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,opt_map_rank_norsl,6150485.8348689405,6150551.773653503,-0.001072090666207613,396859.7478588721,274151.3341704298,30.91984368545203,0.08946279808338971,0.1292174476260847,44.43707372715868,0.0057549666528968054,0.005754565272004198,-0.006974512917551785
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,opt_rank_cartlabor_norsl,6127777.4994223295,6127399.080911841,0.006175461013783681,396266.866994755,271713.6444247124,31.43165198610743,0.0895924248553275,0.13035847343309862,45.50166896766052,0.005775074408792824,0.005774666182409013,-0.007068764052456387
