metric,grouping,better,group_channel,n,n_pos,n_neg,n_zero,n_nan,win_rate,p_sign,ci_lo,ci_hi,median,q1,q3,iqr,min,max,group_assignment,group_scheduler
auc_gain_vs_ref_pct,scheduler,higher,,136,136,0,0,0,1.0,1.1479437019748901e-41,0.9782133893889967,1.0,30.556368195366165,5.475975658873405,44.85613581334508,39.380160154471675,4.6518738461648415,65.07802537359542,,
labor_delta_vs_ref_pct,channel,higher,fulfillment,68,35,33,0,0,0.5147058823529411,0.45179867284175634,0.4087428911189553,1.0,0.00012227596452030198,-0.004316182211633324,0.005853901712798981,0.010170083924432305,-0.020577775542407473,0.01655967099023492,,
labor_delta_vs_ref_pct,channel,higher,store,68,26,42,0,0,0.38235294117647056,0.9807699733255363,0.28353865330039835,1.0,-0.003600421570221224,-0.013780767484089518,0.00842639831719616,0.022207165801285678,-0.04096295313417153,0.06791898681952624,,
labor_delta_vs_ref_pct,channel,higher,,136,61,75,0,0,0.4485294117647059,0.9009093293185154,0.37609022713764667,1.0,-0.0008003348000995558,-0.008311104034708361,0.006582854039655084,0.014893958074363445,-0.04096295313417153,0.06791898681952624,,
labor_delta_vs_ref_pct,channel_x_rule,higher,fulfillment,4,2,2,0,0,0.5,0.6875,0.09761146288641435,1.0,0.0011099794008928576,-0.0009040089786555017,0.004945948513390697,0.005849957492046198,-0.0011480315902479,0.010655913323831534,cluster_map,
labor_delta_vs_ref_pct,channel_x_rule,higher,fulfillment,4,2,2,0,0,0.5,0.6875,0.09761146288641435,1.0,-0.00017020777670073706,-0.0038835226724653893,0.004109834661447653,0.007993357333913043,-0.013644390002298667,0.015570884618432146,cluster_map_rank,
labor_delta_vs_ref_pct,channel_x_rule,higher,fulfillment,4,1,3,0,0,0.25,0.9375,0.012741455098576234,1.0,-0.002184057048465471,-0.0037681096394681646,-0.0006522022892918589,0.0031159073501763057,-0.0052829970271006665,0.0007060916028533981,cmax,
labor_delta_vs_ref_pct,channel_x_rule,higher,fulfillment,4,1,3,0,0,0.25,0.9375,0.012741455098576234,1.0,-0.003817574210357444,-0.004962883666831397,-0.000723975934421861,0.004238907732409536,-0.006567689809888755,0.006725696667020387,cmin,
labor_delta_vs_ref_pct,channel_x_rule,higher,fulfillment,4,2,2,0,0,0.5,0.6875,0.09761146288641435,1.0,-0.00289746602029628,-0.010542028189655661,0.0034494928948969328,0.013991521084552594,-0.020577775542407473,0.009592430485150238,comp,
labor_delta_vs_ref_pct,channel_x_rule,higher,fulfillment,4,4,0,0,0,1.0,0.0625,0.472870804501588,1.0,0.00765432165582558,0.005808789504135881,0.009127560329785789,0.0033187708256499082,0.003281503947705211,0.010537965453027986,expn,
labor_delta_vs_ref_pct,channel_x_rule,higher,fulfillment,4,2,2,0,0,0.5,0.6875,0.09761146288641435,1.0,-0.005737708800512831,-0.012540142245387464,0.001064724644361803,0.013604866889749268,-0.012540142245387464,0.001064724644361803,fifo,
labor_delta_vs_ref_pct,channel_x_rule,higher,fulfillment,4,4,0,0,0,1.0,0.0625,0.472870804501588,1.0,0.006605227878420106,0.0030558138841285665,0.00973808476828486,0.006682270884156294,0.0006085727499716143,0.010935654589161459,map,
labor_delta_vs_ref_pct,channel_x_rule,higher,fulfillment,4,3,1,0,0,0.75,0.3125,0.24860462573018155,1.0,0.004873025038931722,0.0008555053936210033,0.010156081480611201,0.009300576086990198,-0.0005355615412705461,0.015343758804609031,map_rank,
