metric,grouping,better,group_channel,n,n_pos,n_neg,n_zero,n_nan,win_rate,p_sign,p_floor,ci_lo,ci_hi,median,q1,q3,iqr,min,max,group_assignment,group_scheduler
auc_gain_vs_ref_pct,channel,higher,fulfillment,40,22,10,8,0,0.6875,0.025051229866221547,2.3283064365386963e-10,0.5278595607023034,1.0,0.0125709874001257,-7.755593012235022e-05,0.06444104138587518,0.06451859731599753,-0.047073526262485864,0.11049476842143738,,
auc_gain_vs_ref_pct,channel,higher,store,40,16,16,8,0,0.5,0.5699749670457095,2.3283064365386963e-10,0.3441485779422835,1.0,0.0,-0.03391891441900728,0.06277589708544458,0.09669481150445186,-0.22086796860012592,0.28812768070812145,,
auc_gain_vs_ref_pct,channel,higher,,80,38,26,16,0,0.59375,0.08432145571985168,5.421010862427522e-20,0.4832696465947392,1.0,0.0,-0.009643920346365223,0.06444104138587518,0.07408496173224041,-0.22086796860012592,0.28812768070812145,,
auc_gain_vs_ref_pct,channel_x_rule,higher,fulfillment,20,14,0,6,0,1.0,6.103515625e-05,6.103515625e-05,0.8073638243498648,1.0,0.06311719544810118,0.0,0.0776895368983397,0.0776895368983397,0.0,0.08569468172270686,fifo,
auc_gain_vs_ref_pct,channel_x_rule,higher,fulfillment,20,8,10,2,0,0.4444444444444444,0.7596588134765625,3.814697265625e-06,0.2439612491136728,1.0,-0.00015511186024470044,-0.010444737110166594,0.025336935758390824,0.03578167286855742,-0.047073526262485864,0.11049476842143738,rank_minlabor,
auc_gain_vs_ref_pct,channel_x_rule,higher,store,20,8,6,6,0,0.5714285714285714,0.395263671875,6.103515625e-05,0.32502848160377507,1.0,0.0,-0.029745363105518275,0.08072808367866745,0.11047344678418572,-0.22086796860012592,0.14162293994337,fifo,
auc_gain_vs_ref_pct,channel_x_rule,higher,store,20,8,10,2,0,0.4444444444444444,0.7596588134765625,3.814697265625e-06,0.2439612491136728,1.0,-0.0027913604933119903,-0.04865973191264282,0.023666005948929585,0.0723257378615724,-0.18118162979749752,0.28812768070812145,rank_cartlabor,
auc_gain_vs_ref_pct,channel_x_rule,higher,,80,38,26,16,0,0.59375,0.08432145571985168,5.421010862427522e-20,0.4832696465947392,1.0,0.0,-0.009643920346365223,0.06444104138587518,0.07408496173224041,-0.22086796860012592,0.28812768070812145,,
auc_gain_vs_ref_pct,scheduler,higher,,80,38,26,16,0,0.59375,0.08432145571985168,5.421010862427522e-20,0.4832696465947392,1.0,0.0,-0.009643920346365223,0.06444104138587518,0.07408496173224041,-0.22086796860012592,0.28812768070812145,,round_robin
auc_gain_vs_ref_pct,scheduler,higher,,80,38,26,16,0,0.59375,0.08432145571985168,5.421010862427522e-20,0.4832696465947392,1.0,0.0,-0.009643920346365223,0.06444104138587518,0.07408496173224041,-0.22086796860012592,0.28812768070812145,,
labor_delta_vs_ref_pct,channel,higher,fulfillment,40,4,28,8,0,0.125,0.999998721992597,2.3283064365386963e-10,0.04384544409259266,1.0,-0.020959888435334584,-0.037259462824837386,0.0,0.037259462824837386,-0.09982138418410669,0.039372127190295814,,
labor_delta_vs_ref_pct,channel,higher,store,40,23,9,8,0,0.71875,0.010030803503468633,2.3283064365386963e-10,0.5605533067390448,1.0,0.008915425534117283,0.0,0.03468520881463877,0.03468520881463877,-0.050841587450756176,0.24364292616476657,,
labor_delta_vs_ref_pct,channel,higher,,80,27,37,16,0,0.421875,0.9156785442801483,5.421010862427522e-20,0.3170231450459477,1.0,0.0,-0.02813007902204845,0.016960799534632143,0.04509087855668059,-0.09982138418410669,0.24364292616476657,,
labor_delta_vs_ref_pct,channel_x_rule,higher,fulfillment,20,4,10,6,0,0.2857142857142857,0.9713134765625,6.103515625e-05,0.10404730759236279,1.0,-0.009639016215384766,-0.022699545547444355,0.0,0.022699545547444355,-0.04211082403929867,0.039372127190295814,fifo,
labor_delta_vs_ref_pct,channel_x_rule,higher,fulfillment,20,0,18,2,0,0.0,1.0,3.814697265625e-06,0.0,1.0,-0.03106323770727948,-0.05747749956675485,-0.01869280016496555,0.0387846994017893,-0.09982138418410669,0.0,rank_minlabor,
labor_delta_vs_ref_pct,channel_x_rule,higher,store,20,8,6,6,0,0.5714285714285714,0.395263671875,6.103515625e-05,0.32502848160377507,1.0,0.0,-0.002576441446977551,0.026379425243172605,0.028955866690150156,-0.050841587450756176,0.14843129243387043,fifo,
labor_delta_vs_ref_pct,channel_x_rule,higher,store,20,15,3,2,0,0.8333333333333334,0.0037689208984375,3.814697265625e-06,0.6233208490403453,1.0,0.022653793043292403,0.005202257688879941,0.04009718056267597,0.03489492287379603,-0.028278136753356886,0.24364292616476657,rank_cartlabor,
labor_delta_vs_ref_pct,channel_x_rule,higher,,80,27,37,16,0,0.421875,0.9156785442801483,5.421010862427522e-20,0.3170231450459477,1.0,0.0,-0.02813007902204845,0.016960799534632143,0.04509087855668059,-0.09982138418410669,0.24364292616476657,,
labor_delta_vs_ref_pct,scheduler,higher,,80,27,37,16,0,0.421875,0.9156785442801483,5.421010862427522e-20,0.3170231450459477,1.0,0.0,-0.02813007902204845,0.016960799534632143,0.04509087855668059,-0.09982138418410669,0.24364292616476657,,round_robin
labor_delta_vs_ref_pct,scheduler,higher,,80,27,37,16,0,0.421875,0.9156785442801483,5.421010862427522e-20,0.3170231450459477,1.0,0.0,-0.02813007902204845,0.016960799534632143,0.04509087855668059,-0.09982138418410669,0.24364292616476657,,
